timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,sensor,UTCI_approx,UTCI_comfortable,UTCI_stressRange
2019-09-19 20:35:00+00:00,4.0092127802,28.692,27.932,102.68200000000002,-148.82,319.4,676.4,800.0,30.392,27.068,23.624000000000002,1.236,1.268,1.2719999999999998,0.168,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.30231235794527,False,1
2019-09-19 20:40:00+00:00,4.030313920999999,28.59800000000001,28.11,102.68200000000002,-148.75799999999995,344.0,714.0,817.2,30.388,27.096,23.358,1.396,1.436,1.436,0.41,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.239305842800057,False,1
2019-09-19 20:45:00+00:00,4.0577566625,28.4425,28.215,102.68,-148.64999999999995,331.5,696.25,812.0,30.3925,27.0275,-7.2025,1.225,1.2574999999999998,1.2574999999999998,0.2375,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.123919947535583,False,1
2019-09-19 20:50:00+00:00,4.0983313082000015,28.464,28.11,102.672,-147.834,343.6,705.4,785.0,30.328000000000003,26.99,22.674,1.2879999999999998,1.32,1.32,0.266,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.13431970965221,False,1
2019-09-19 20:55:00+00:00,4.039293146,28.56,27.79600000000001,102.662,-147.17600000000004,330.4,679.4,816.4,30.384000000000004,26.782,35.834,1.2840000000000005,1.318,1.318,0.18,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.190268795687025,False,1
2019-09-19 21:00:00+00:00,4.1091063976,28.401999999999997,27.978,102.666,-147.274,344.4,699.0,802.2,30.24,26.93200000000001,11.475999999999999,1.298,1.3299999999999998,1.3299999999999998,0.17400000000000002,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.077974261807913,False,1
2019-09-19 21:05:00+00:00,4.0083709955,28.325,28.2325,102.66,-146.54500000000004,359.0,737.25,804.75,30.270000000000003,27.0625,252.035,1.355,1.3875,1.3875,0.375,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.033462103960264,False,1
2019-09-19 21:10:00+00:00,4.1214527606,28.712,27.486,102.66,-146.746,348.6,694.6,805.4,30.488000000000003,26.522,20.128,1.2579999999999998,1.288,1.288,0.254,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.290605578316576,False,1
2019-09-19 21:15:00+00:00,4.065332842,28.492,27.62,102.652,-146.2,350.2,697.6,824.8,30.294,26.629999999999995,18.65,1.3519999999999999,1.39,1.39,0.248,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.126460772891274,False,1
2019-09-19 21:20:00+00:00,4.1367175102,28.528,27.532,102.648,-145.986,348.2,685.6,831.4,30.366,26.538,19.472,1.3279999999999998,1.366,1.366,0.172,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),\protoCBAS-G,26.149225050980043,False,1
